ID,Street Name,Street Qualifier,Begin Measure,End Measure,School,Speed Limit,Effective Days,Effective Time,Legislation Link,Location
220,Manitoba Ave,A,4710.01157,4983.48532,Shaughnessy Park School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.189857229058 49.931455855461, -97.190617502473 49.931699007064, -97.190741138699 49.93173854696, -97.190864785057 49.931778089902, -97.192995413613 49.932459448623, -97.193119059163 49.932498987743, -97.193242729893 49.932538534719, -97.193270969833 49.932547565156)"
256,Beaumont St,A,414.96485,715.97833,General Byng School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.161265967964 49.844752203737, -97.161125992163 49.844579772046, -97.16106526354 49.844505026326, -97.161004538238 49.844430284436, -97.160798127719 49.844175550276, -97.160561330729 49.843883312044, -97.160030236301 49.843227858206, -97.159501235356 49.842574968313, -97.159322803623 49.842354744461)"
263,Lindenwood Dr E,A,1373.13573,1676.8695,Linden Meadows School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.190815601025 49.829583070637, -97.191260784471 49.82947417073, -97.191556171057 49.829389056952, -97.191921319938 49.829268689035, -97.192405997473 49.82910557943, -97.193915966105 49.828595957571, -97.19415991091 49.828513841882, -97.194428017187 49.828423592137, -97.194593401426 49.82836792013)"
278,Kingsbury Ave,A,416.98289,732.01744,Edmund Partridge Community School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.11599236831 49.93967208103, -97.116222543187 49.939746334663, -97.118297425292 49.940415653835, -97.118553113271 49.94049813029, -97.118733866705 49.94055643484, -97.119406609156 49.940773433645, -97.1199186442 49.940938591007)"
3,Deacon St,A,55.59388,128.24401,Sister MacNamara School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.1510700608 49.895370716593, -97.151248488609 49.895699422304, -97.151253055133 49.895709177371, -97.151256289036 49.895719152296, -97.151258165737 49.895729271264, -97.151258670971 49.895739457368, -97.151257800899 49.895749633188, -97.151255562131 49.895759721385, -97.151251971684 49.895769645285, -97.151247056843 49.89577932946, -97.151240854965 49.895788700309, -97.151233413185 49.895797686607, -97.151224788062 49.895806220056, -97.151215045152 49.895814235797, -97.151204258503 49.895821672907, -97.1511925101 49.895828474862, -97.151179889234 49.895834589963, -97.151166491829 49.895839971733, -97.151152419712 49.895844579267, -97.151137779836 49.895848377547, -97.150960329939 49.895888708094)"
119,Harrow St,A,918.02335,1134.86482,St. Ignatius School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.163925669981 49.867867682649, -97.163867447253 49.867794192192, -97.16363589024 49.867501911599, -97.163551290695 49.867395125663, -97.163487336654 49.86731488551, -97.163234949642 49.866996210031, -97.163162934315 49.866905279301, -97.162918794095 49.866596998736, -97.162855024299 49.866516474665, -97.162602638235 49.866197788679, -97.162550624206 49.866132110375)"
142,Southglen Blvd,A,521.60936,753.57787,H.S. Paul School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.091431012303 49.817804361261, -97.091277486994 49.817816976568, -97.091126663962 49.817829455747, -97.090959927161 49.817843251402, -97.090858639037 49.817854045954, -97.09073808716 49.817870740352, -97.090619037381 49.817891461855, -97.090466758459 49.817924395738, -97.090318268663 49.817963914908, -97.090174247337 49.818009838564, -97.089359270199 49.818292256151, -97.089203156344 49.81834620346, -97.089045458156 49.818400697919, -97.088676196952 49.81852861287, -97.088637599227 49.818541983133, -97.088599639194 49.81855513248, -97.088483187064 49.818595471743)"
2,Bushnell St,A,19.77665,86.00528,Dufferin School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.149901400698 49.906101157828, -97.14980303825 49.906229274137, -97.149535072596 49.90657829332, -97.149491756577 49.906634710908)"
216,Markham Rd,A,1820.11875,2091.69655,Chancellor Elementary,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.16493573517 49.804971980646, -97.164977632785 49.804930170113, -97.165090623339 49.804795091036, -97.165186755041 49.804654652071, -97.165265425926 49.804509732846, -97.165326143407 49.804361241041, -97.165368527359 49.804210106703, -97.165392312492 49.804057276422, -97.16547388385 49.803173645649, -97.165559445872 49.802967786566, -97.165590477108 49.80279506581, -97.165613451661 49.802666739416, -97.165619947648 49.802597631098)"
224,King St,A,1518.91195,1795.17713,David Livingstone School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.135177671206 49.909402875339, -97.135148396473 49.909990738693, -97.135129081381 49.91037859336, -97.135107198257 49.910579802349, -97.13506168612 49.910779354191, -97.134992808223 49.910976093358, -97.134900963134 49.911168880598, -97.134786682435 49.911356599529, -97.134701088317 49.911474548739, -97.134446046501 49.911805012287)"
